City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kapaa,US,84.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Port Hawkesbury,CA,78.01,broken clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
6,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
8,Razole,IN,78.48,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
11,Jamestown,US,72.3,moderate rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
12,Panzhihua,CN,70.79,overcast clouds,26.5851,101.7128,Electric Power Hotel
17,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
22,Souillac,MU,71.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
24,Auki,SB,82.56,scattered clouds,-8.7676,160.7034,Auki Motel
25,Kanlagay,PH,80.26,overcast clouds,5.8757,121.2915,
27,Mahibadhoo,MV,82.54,clear sky,3.7833,72.9667,Omadhoo Inn
37,Pamfila,GR,82.11,clear sky,39.1567,26.5217,GOLDEN SUN ROOMS
39,Mata,PT,73.92,clear sky,40.683,-7.4592,Hostel EntryFik
45,Bam,IR,88.32,overcast clouds,29.106,58.357,Bam Tourist Hotel
46,Aguilar De La Frontera,ES,84.6,clear sky,37.5143,-4.6554,CASA RURAL AGUILAR DE LA FRONTERA
47,Arraial Do Cabo,BR,71.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
48,Atuona,PF,78.12,scattered clouds,-9.8,-139.0333,Villa Enata
52,Meulaboh,ID,75.7,broken clouds,4.1363,96.1285,Kost Pria
54,Homer,US,78.08,clear sky,59.6425,-151.5483,Beluga Lake Lodge
55,Camocim,BR,79.93,clear sky,-2.9022,-40.8411,Hotel Ilha do Amor
57,Ponta Do Sol,PT,74.01,clear sky,32.6667,-17.1,Hotel do Campo
60,Zhanaozen,KZ,81.5,broken clouds,43.3,52.8,K.korabay 28A
65,Torbay,CA,74.17,broken clouds,47.6666,-52.7314,Gallows Cove
66,Basco,PH,83.39,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
68,Mnogovershinnyy,RU,73.6,clear sky,53.9353,139.9242,Kvartsevaya Sopka
70,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
71,Sarankhola,BD,80.02,overcast clouds,22.3082,89.7897,Md Mostafiz Mir Al Imran's House
72,Xinan,CN,76.66,overcast clouds,26.72,119.8556,昌雄大酒店
74,Rikitea,PF,73.13,clear sky,-23.1203,-134.9692,People ThankYou
81,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
82,Erzincan,TR,70.9,clear sky,39.75,39.5,Eriza Boutique Hotel
83,Bambous Virieux,MU,71.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
84,Butaritari,KI,83.97,light rain,3.0707,172.7902,Isles Sunset Lodge
87,Faanui,PF,80.08,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
88,Sale,MA,72.28,scattered clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
90,Hamilton,US,83.32,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
91,Hobyo,SO,76.8,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
93,Dubrovytsya,UA,71.1,broken clouds,51.5744,26.565,Druzhba
96,Naze,JP,79.72,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
102,Hargeysa,SO,72.19,light rain,9.56,44.065,City Center Hotel
104,Khor,RU,76.05,scattered clouds,47.8861,134.9464,Gostinitsa Deksi
105,Longyan,CN,72.46,overcast clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
108,Mahebourg,MU,71.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
110,Zhanakorgan,KZ,75.4,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
111,Albany,US,85.17,broken clouds,42.6001,-73.9662,
114,Phetchaburi,TH,80.29,overcast clouds,12.9667,99.5833,ไร่แม่คะเมยฮิลล์ แก่งกระจาน เพชรบุรี
115,Kasongo-Lunda,CD,72.63,broken clouds,-6.4667,16.8167,
116,Sechura,PE,74.68,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
119,Loa Janan,ID,70.07,overcast clouds,-0.583,117.095,Pondok hijau 2A
122,Bay Roberts,CA,74.95,overcast clouds,47.5999,-53.2648,Stonewall Inn
127,Imeni Poliny Osipenko,RU,75.6,scattered clouds,52.4201,136.4853,Yubileynaya
132,Kavieng,PG,83.52,light rain,-2.5744,150.7967,Nusa Island Retreat
133,Siguiri,GN,73.08,moderate rain,11.6667,-9.5,
135,Sao Filipe,CV,74.61,clear sky,14.8961,-24.4956,Hotel Xaguate
136,Ariquemes,BR,85.73,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
137,Tautira,PF,86.02,broken clouds,-17.7333,-149.15,Pension Oaoa
138,Bani Walid,LY,75.88,clear sky,31.7566,13.9942,منزل الصابر أبوفانة
141,Osmaniye,TR,79.52,clear sky,37.0742,36.2478,Osmaniye Ogretmenevi ve Aksam Sanat Okulu
142,Coahuayana,MX,89.55,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
143,Grand-Santi,GF,74.39,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
148,La Ronge,CA,73.62,few clouds,55.1001,-105.2842,Northland Motor Hotel
150,Missoula,US,79.2,clear sky,47.0166,-113.8009,Gold Creek Cabin
152,Sept-Iles,CA,72.25,broken clouds,50.2001,-66.3821,Comfort Inn
153,Bonavista,CA,73.4,broken clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
154,Bara,NG,77.18,overcast clouds,10.3744,10.7288,
156,Tevaitoa,PF,80.08,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
161,Yatou,CN,74.19,broken clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
164,Axim,GH,76.24,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
166,Luanda,AO,73.4,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
167,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
168,Sucua,EC,75.94,moderate rain,-2.4667,-78.1667,Hotel Orellana
169,Aripuana,BR,82.58,clear sky,-9.1667,-60.6333,
172,Nikolskoye,RU,76.89,few clouds,59.7035,30.7861,Tourist House - Sablino
175,Zhucheng,CN,73.72,overcast clouds,35.9947,119.3975,Fanrong Hotel
177,Conde,BR,74.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
178,Camacha,PT,70.54,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
179,Tura,IN,74.08,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
180,Guerrero Negro,MX,77.25,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
182,Fukue,JP,78.28,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
187,Victoria,HK,82.45,light rain,22.2855,114.1577,Mini Hotel Central
189,Goderich,CA,73.9,overcast clouds,43.7501,-81.7165,Harmony Inn
190,Wajir,KE,76.89,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
205,Sabang,ID,81.45,clear sky,5.8933,95.3214,Hotel Citra
206,Preobrazheniye,RU,71.74,clear sky,42.9019,133.9064,Campsite Orlan
207,Erzin,TR,79.0,clear sky,36.9559,36.2,Artemis Otel
208,Nalut,LY,89.73,clear sky,30.3333,10.85,
210,Dingle,PH,75.83,light rain,10.9995,122.6711,SEGAYA PROPERTY
214,Netivot,IL,77.9,clear sky,31.4222,34.5886,"'בית החסד - מוסדות מאורות נתן' - מיסודו של הרב נתן בוקובזה זצוק""ל"
216,Menomonie,US,84.97,scattered clouds,44.8755,-91.9193,Best Western Plus Menomonie Inn & Suites
217,Ciudad Bolivar,VE,84.25,overcast clouds,8.1222,-63.5497,Hotel Edi
219,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
222,Matay,EG,88.95,clear sky,28.419,30.7792,Nag Aespen
223,Bandarbeyla,SO,76.03,broken clouds,9.4942,50.8122,JABIR HOTEL
224,Intipuca,SV,89.76,few clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
225,Hithadhoo,MV,82.78,broken clouds,-0.6,73.0833,Scoop Guest House
226,Tema,GH,75.61,light rain,5.667,-0.0166,Beulah Royale
228,Makakilo City,US,84.56,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
231,Nabire,ID,75.16,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
232,Port Blair,IN,81.34,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
233,Leticia,CO,78.85,moderate rain,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
234,Padilla,CO,83.77,scattered clouds,3.2204,-76.3139,La Granadina
237,Nishihara,JP,81.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
238,Huilong,CN,79.99,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
239,Buchanan,LR,75.16,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
243,Davila,PH,76.98,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
245,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
246,Padang,ID,75.43,broken clouds,-0.9492,100.3543,Mercure Padang
